htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
uc1.32106019787198	Parliamentary debates (Hansard) v.22 1876	New Zealand. Parliament	1876-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787198
uc1.32106019787206	Parliamentary debates (Hansard) v.23 1876	New Zealand. Parliament	1876-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787206
uc1.32106019787214	Parliamentary debates (Hansard) v.24 1877	New Zealand. Parliament	1877-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787214
uc1.32106019787230	Parliamentary debates (Hansard) v.26 1877	New Zealand. Parliament	1877-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787230
uc1.32106015356980	Parliamentary debates (Hansard) v.27 1877	New Zealand. Parliament	1877-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106015356980
uc1.32106019787305	Parliamentary debates (Hansard) v.33 1879	New Zealand. Parliament	1879-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787305
uc1.32106019787313	Parliamentary debates (Hansard) v.34 1879	New Zealand. Parliament	1879-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787313
uc1.b2889853	Parliamentary debates (Hansard) 1879:2	New Zealand. Parliament	1879-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.b2889853
uc1.32106015456103	Parliamentary debates (Hansard) v.37 1880	New Zealand. Parliament	1880-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106015456103
uc1.32106019787339	Parliamentary debates (Hansard) v.38 1881	New Zealand. Parliament	1881-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787339
uc1.32106019787354	Parliamentary debates (Hansard) v.40 1881	New Zealand. Parliament	1881-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787354
uc1.32106019787362	Parliamentary debates (Hansard) v.41 1882	New Zealand. Parliament	1882-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787362
uc1.32106019787370	Parliamentary debates (Hansard) v.42 1882	New Zealand. Parliament	1882-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787370
uc1.32106019787388	Parliamentary debates (Hansard) v.43 1882	New Zealand. Parliament	1882-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787388
uc1.32106019787404	Parliamentary debates (Hansard) v.45 1883	New Zealand. Parliament	1883-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787404
uc1.32106019787412	Parliamentary debates (Hansard) v.46 1883	New Zealand. Parliament	1883-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787412
uc1.32106019787438	Parliamentary debates (Hansard) v.48 1884	New Zealand. Parliament	1884-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787438
uc1.32106019787446	Parliamentary debates (Hansard) v.49 1884	New Zealand. Parliament	1884-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787446
uc1.32106019787453	Parliamentary debates (Hansard) v.50 1884	New Zealand. Parliament	1884-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787453
uc1.32106019787461	Parliamentary debates (Hansard) v.51 1885	New Zealand. Parliament	1885-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787461
uc1.32106019787479	Parliamentary debates (Hansard) v.52 1885	New Zealand. Parliament	1885-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787479
uc1.32106019787487	Parliamentary debates (Hansard) v.53 1885	New Zealand. Parliament	1885-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787487
uc1.32106019787495	Parliamentary debates (Hansard) v.54 1886	New Zealand. Parliament	1886-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787495
uc1.32106019787503	Parliamentary debates (Hansard) v.55 1886	New Zealand. Parliament	1886-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787503
uc1.32106019787511	Parliamentary debates (Hansard) v.56 1886	New Zealand. Parliament	1886-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787511
uc1.b2889879	Parliamentary debates (Hansard) 1887:3	New Zealand. Parliament	1887-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.b2889879
uc1.32106019787586	Parliamentary debates (Hansard) v.64 1889	New Zealand. Parliament	1889-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787586
uc1.32106019787594	Parliamentary debates (Hansard) v.65 1889	New Zealand. Parliament	1889-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787594
uc1.32106019787602	Parliamentary debates (Hansard) v.66 1889	New Zealand. Parliament	1889-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787602
uc1.32106019787610	Parliamentary debates (Hansard) v.67 1890	New Zealand. Parliament	1890-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787610
uc1.32106019787636	Parliamentary debates (Hansard) v.69 1890	New Zealand. Parliament	1890-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787636
uc1.b2889888	Parliamentary debates (Hansard) 1890:2	New Zealand. Parliament	1890-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.b2889888
uc1.32106019787669	Parliamentary debates (Hansard) v.73 1891	New Zealand. Parliament	1891-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787669
uc1.32106019787677	Parliamentary debates (Hansard) v.74 1891	New Zealand. Parliament	1891-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787677
uc1.32106019787685	Parliamentary debates (Hansard) v.75 1892	New Zealand. Parliament	1892-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787685
uc1.32106019787701	Parliamentary debates (Hansard) v.77 1892	New Zealand. Parliament	1892-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787701
uc1.32106019787735	Parliamentary debates (Hansard) v.80 1893	New Zealand. Parliament	1893-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787735
uc1.32106019787743	Parliamentary debates (Hansard) v.81 1893	New Zealand. Parliament	1893-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787743
uc1.32106019787917	Parliamentary debates (Hansard) v.82 1893	New Zealand. Parliament	1893-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787917
uc1.32106019787990	Parliamentary debates (Hansard) v.90 1895	New Zealand. Parliament	1895-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787990
uc1.32106019788006	Parliamentary debates (Hansard) v.91 1895	New Zealand. Parliament	1895-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788006
uc1.32106019788030	Parliamentary debates (Hansard) v.94 1896	New Zealand. Parliament	1896-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788030
uc1.32106019788055	Parliamentary debates (Hansard) v.96 1896	New Zealand. Parliament	1896-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788055
uc1.32106019929352	Parliamentary debates (Hansard) v.106 1899	New Zealand. Parliament	1899-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019929352
uc1.32106019788147	Parliamentary debates (Hansard) v.107 1899	New Zealand. Parliament	1899-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788147
uc1.32106019788170	Parliamentary debates (Hansard) v.110 1899	New Zealand. Parliament	1899-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788170
